,설치년도,군구,주소,충전소명,시설구분(대),시설구분(소),기종(대),기종(소),충전기ID,충전소ID,위도,경도,법정동코드,법정동명,중심위도,중심경도,충전소중심지거리(급속),인근충전소위도(급속),인근충전소경도(급속),인근충전소거리(급속)
1719,2022,금천구,서울특별시 금천구 서부샛길 606,대성디폴리스지식산업센터,기타시설,기타,급속,DC콤보,11,PI203027,37.479804,126.87708,11545101,가산동,37.47668465005588,126.8837782478907,686.2042242294001,37.466497223,127.02259934,12926.835078712562
1720,2022,서초구,서울특별시 서초구 성촌길 56,서울시 서초구 삼성서울RnD캠퍼스,교육문화시설,학교,급속,DC콤보,1,PI204022,37.466497223,127.02259934,11650103,우면동,37.46593428048647,127.01794436004808,416.5167408489703,37.6433574,127.1088503,21084.54675824317
1721,2022,서초구,서울특별시 서초구 성촌길 56,서울시 서초구 삼성서울RnD캠퍼스,교육문화시설,학교,급속,DC콤보,2,PI204022,37.466497223,127.02259934,11650103,우면동,37.46593428048647,127.01794436004808,416.5167408489703,37.6433574,127.1088503,21084.54675824317
1722,2022,노원구,서울특별시 노원구 화랑로 815,서울시 노원구 한국삼육고등학교,교육문화시설,학교,급속,DC콤보,2,PI204039,37.6433574,127.1088503,11350103,공릉동,37.630496379881066,127.09101086682489,2125.2928866180255,37.5297972,126.9257807,20485.6211119407
1723,2022,노원구,서울특별시 노원구 화랑로 815,서울시 노원구 한국삼육고등학교,교육문화시설,학교,급속,DC콤보,3,PI204039,37.6433574,127.1088503,11350103,공릉동,37.630496379881066,127.09101086682489,2125.2928866180255,37.5297972,126.9257807,20485.6211119407
1724,2022,영등포구,서울특별시 영등포구 여의공원로 111,서울시 영등포구 태영빌딩,공동주택시설,사업장(사옥),급속,DC콤보,1,PI204049,37.5297972,126.9257807,11560110,여의도동,37.52850492683605,126.9284679473727,277.47243142923776,37.529215519,127.07766798,13393.878077531595
1725,2022,영등포구,서울특별시 영등포구 여의공원로 111,서울시 영등포구 태영빌딩,공동주택시설,사업장(사옥),급속,DC콤보,2,PI204049,37.5297972,126.9257807,11560110,여의도동,37.52850492683605,126.9284679473727,277.47243142923776,37.529215519,127.07766798,13393.878077531595
1726,2022,광진구,서울특별시 광진구 뚝섬로52길 66,서울시 광진구 자양문화체육센터,공공시설,지자체시설,급속,DC콤보,1,PI204059,37.529215519,127.07766798,11215105,자양동,37.53169649781548,127.07452453170117,391.179526115654,37.4833895,126.8965199,16771.780566658934
1727,2022,광진구,서울특별시 광진구 뚝섬로52길 66,서울시 광진구 자양문화체육센터,공공시설,지자체시설,급속,DC콤보,2,PI204059,37.529215519,127.07766798,11215105,자양동,37.53169649781548,127.07452453170117,391.179526115654,37.4833895,126.8965199,16771.780566658934
1728,2022,구로구,서울특별시 구로구 디지털로32길 30,서울시 구로구 디지털빌란트1차,공동주택시설,사업장(사옥),급속,DC콤보,1,PI204060,37.4833895,126.8965199,11530102,구로동,37.49423457994257,126.88468696337424,1594.9728964450287,37.4819684,126.8236695,6430.066298098047
1729,2022,구로구,서울특별시 구로구 디지털로32길 30,서울시 구로구 디지털빌란트1차,공동주택시설,사업장(사옥),급속,DC콤보,2,PI204060,37.4833895,126.8965199,11530102,구로동,37.49423457994257,126.88468696337424,1594.9728964450287,37.4819684,126.8236695,6430.066298098047
1730,2022,구로구,서울특별시 구로구 연동로 240,서울시 구로구 푸른숲수목원,공공시설,지자체시설,급속,DC콤보,2,PI204061,37.4819684,126.8236695,11530112,항동,37.481036282021215,126.82459683794686,132.02204333951164,37.6419941,127.0774371,28582.40192522082
1731,2022,구로구,서울특별시 구로구 연동로 240,서울시 구로구 푸른숲수목원,공공시설,지자체시설,급속,DC콤보,3,PI204061,37.4819684,126.8236695,11530112,항동,37.481036282021215,126.82459683794686,132.02204333951164,37.6419941,127.0774371,28582.40192522082
1732,2022,노원구,서울특별시 노원구 한글비석로 160,서울시 노원구 서울시립과학관,공공시설,지자체시설,급속,DC콤보,1,PI204062,37.6419941,127.0774371,11350104,하계동,37.63764458714343,127.07250995943339,649.739366113484,37.4572513,126.8967472,25994.89538530107
1733,2022,노원구,서울특별시 노원구 한글비석로 160,서울시 노원구 서울시립과학관,공공시설,지자체시설,급속,DC콤보,2,PI204062,37.6419941,127.0774371,11350104,하계동,37.63764458714343,127.07250995943339,649.739366113484,37.4572513,126.8967472,25994.89538530107
1734,2022,금천구,서울특별시 금천구 시흥대로73길 50,서울시 금천구 금천경찰서,공공시설,공공기관,급속,DC콤보,1,PI204071,37.4572513,126.8967472,11545103,시흥동,37.449530199101986,126.90928980328589,1402.1187886415762,37.517521,127.116024,20475.001077601533
1735,2022,금천구,서울특별시 금천구 시흥대로73길 50,서울시 금천구 금천경찰서,공공시설,공공기관,급속,DC콤보,2,PI204071,37.4572513,126.8967472,11545103,시흥동,37.449530199101986,126.90928980328589,1402.1187886415762,37.517521,127.116024,20475.001077601533
1736,2023,송파구,서울특별시 송파구 올림픽로 424,서울시 송파구 올림픽공원남4문주차장,관광시설,공원,급속,DC콤보,40,PI204092,37.517521,127.116024,11710111,방이동,37.515674624614924,127.12538894253487,852.900148713813,37.5116087,126.9272264,16664.853004234013
1737,2023,송파구,서울특별시 송파구 올림픽로 424,서울시 송파구 올림픽공원남4문주차장,관광시설,공원,급속,DC콤보,41,PI204092,37.517521,127.116024,11710111,방이동,37.515674624614924,127.12538894253487,852.900148713813,37.5116087,126.9272264,16664.853004234013
1738,2023,송파구,서울특별시 송파구 올림픽로 424,서울시 송파구 올림픽공원남4문주차장,관광시설,공원,급속,DC콤보,42,PI204092,37.517521,127.116024,11710111,방이동,37.515674624614924,127.12538894253487,852.900148713813,37.5116087,126.9272264,16664.853004234013
