자치구,행정동,CNG,LNG,경유,기타연료,수소,엘피지,전기,하이브리드,휘발유,합계,시군구명_x,행정동코드,읍면동명_x,생성일자_x,말소일자_x,시군구명_y,읍면동명_y,법정동코드,동리명,생성일자_y,말소일자_y
마포구,노고산동,0,0,1,0,0,0,0,0,0,1,마포구,1144062000,노고산동,19880423,20070101,마포구,노고산동,1144010800,대흥동,19880423,20070101
마포구,대흥동,1,0,1123,9,3,231,69,286,2141,3863,마포구,1144060000,대흥동,19880423,,마포구,대흥동,1144010800,대흥동,19880423,
마포구,도화2동,0,0,1,0,0,0,0,0,0,1,마포구,1144058000,도화제2동,19880423,20070101,마포구,도화제2동,1144010400,도화동,19880423,20070101
마포구,도화동,1,0,2384,30,6,315,108,658,4307,7809,마포구,1144058500,도화동,20070101,,마포구,도화동,1144010400,도화동,20070101,
마포구,망원1동,0,0,1834,14,9,653,163,315,2653,5641,마포구,1144069000,망원제1동,19880423,,마포구,망원제1동,1144012300,망원동,19880423,
마포구,망원2동,23,0,1886,23,5,388,67,313,2630,5335,마포구,1144070000,망원제2동,19880423,,마포구,망원제2동,1144012300,망원동,19880423,
마포구,상암동,167,0,3246,31,47,839,294,768,5565,10957,마포구,1144074000,상암동,19880423,,마포구,상암동,1144012700,상암동,19880423,
마포구,서강동,13,0,2119,20,16,321,132,676,4348,7645,마포구,1144065500,서강동,20070101,,마포구,서강동,1144011400,창전동,20070101,
마포구,서교동,0,0,2890,19,11,554,152,547,4724,8897,마포구,1144066000,서교동,19880423,,마포구,서교동,1144011000,노고산동,20080107,
마포구,성산1동,1,0,2254,10,7,401,99,380,3007,6159,마포구,1144072000,성산제1동,19880423,,마포구,성산제1동,1144012500,성산동,19880423,
마포구,성산2동,16,0,3452,20,20,794,197,744,6021,11264,마포구,1144073000,성산제2동,19880423,,마포구,성산제2동,1144012500,성산동,19880423,
마포구,신수동,0,0,2100,9,8,317,140,601,4080,7255,마포구,1144063000,신수동,19880423,,마포구,신수동,1144010800,대흥동,20070101,
마포구,아현동,0,0,2380,17,13,265,198,1021,5826,9720,마포구,1144055500,아현동,20080107,,마포구,아현동,1144010100,아현동,20080107,
마포구,연남동,10,0,1217,6,4,212,76,262,2140,3927,마포구,1144071000,연남동,19880423,,마포구,연남동,1144012400,연남동,19880423,
마포구,염리동,0,0,1686,24,6,212,237,440,2758,5363,마포구,1144061000,염리동,19880423,,마포구,염리동,1144010200,공덕동,20150723,
마포구,용강동,0,0,3295,21,10,391,203,793,5367,10080,마포구,1144059000,용강동,19880423,,마포구,용강동,1144010400,도화동,20070101,
마포구,합정동,1,0,2256,6,9,321,104,377,2848,5922,마포구,1144068000,합정동,19880423,,마포구,합정동,1144012200,합정동,19880423,
서대문구,남가좌1동,65,0,1582,24,10,255,132,565,3240,5873,서대문구,1141069000,남가좌제1동,19880423,,서대문구,남가좌제1동,1141012000,남가좌동,19880423,
서대문구,남가좌2동,1,0,2576,22,11,545,141,690,4554,8540,서대문구,1141070000,남가좌제2동,19880423,,서대문구,남가좌제2동,1141012000,남가좌동,19880423,
서대문구,북가좌1동,1,0,2265,27,6,1161,159,511,3226,7356,서대문구,1141071000,북가좌제1동,19880423,,서대문구,북가좌제1동,1141011900,북가좌동,19880423,
서대문구,북가좌2동,45,0,2783,13,8,979,147,420,4279,8674,서대문구,1141072000,북가좌제2동,19880423,,서대문구,북가좌제2동,1141011900,북가좌동,19880423,
